Tabel 1
org;source;;;;;
ADES Holding;Forbes (business);;;;;
360VUZ;World Economic Forum;;;;;
3ayez;World Economic Forum;;;;;
Abjjad;World Economic Forum;;;;;
Ajeer;World Economic Forum;;;;;
AKKASA;World Economic Forum;;;;;
Altibbi;World Economic Forum;;;;;
Amal Glass;World Economic Forum;;;;;
ArabiaWeather;World Economic Forum;;;;;
Arabot;World Economic Forum;;;;;
Aumet;World Economic Forum;;;;;
AvidBeam;World Economic Forum;;;;;
BulkWhiz;World Economic Forum;;;;;
Careem;World Economic Forum;;;;;
Chefaa;World Economic Forum;;;;;
Dabchy;World Economic Forum;;;;;
Daraty;World Economic Forum;;;;;
Derq;World Economic Forum;;;;;
Elves;World Economic Forum;;;;;
Epilert;World Economic Forum;;;;;
Fetchr;World Economic Forum;;;;;
GoEjaza;World Economic Forum;;;;;
HalalaH;World Economic Forum;;;;;
ibTECHar Digital Solutions;World Economic Forum;;;;;
Inagrab;World Economic Forum;;;;;
Jamalon;World Economic Forum;;;;;
Kharabeesh;World Economic Forum;;;;;
Lamsa;World Economic Forum;;;;;
Lucidya;World Economic Forum;;;;;
Malaeb;World Economic Forum;;;;;
Mathaqi;World Economic Forum;;;;;
Mawdoo3;World Economic Forum;;;;;
Mrsool;World Economic Forum;;;;;
Nabd;World Economic Forum;;;;;
Sarwa;World Economic Forum;;;;;
Shamsina;World Economic Forum;;;;;
Solfeh;World Economic Forum;;;;;
Souqalmal;World Economic Forum;;;;;
Swvl;World Economic Forum;;;;;
Tamatem;World Economic Forum;;;;;
Tarjama;World Economic Forum;;;;;
Unifonic;World Economic Forum;;;;;
ViaVii;World Economic Forum;;;;;
Wasla;World Economic Forum;;;;;
Wikaya;World Economic Forum;;;;;
Yallacompare;World Economic Forum;;;;;
ZenHR Solutions;World Economic Forum;;;;;
Polisario Front;Wikipedia (Arab politics);;;;;
Arab Democratic Nasserist Party;Wikipedia (Arab politics);;;;;
Popular Movement in Iraq;Wikipedia (Arab politics);;;;;
Balad Party;Wikipedia (Arab politics);;;;;
Istiqlal Party;Wikipedia (Arab politics);;;;;
Palestinian Liberation Front;Wikipedia (Arab politics);;;;;
Arab Socialist Union Party of Syria;Wikipedia (Arab politics);;;;;
National Covenant Party;Wikipedia (Arab politics);;;;;
Arab Socialist Ba'ath Party;Wikipedia (Arab politics);;;;;
Echorouk;Wikipedia (newspapers);;;;;
El Heddaf;Wikipedia (newspapers);;;;;
Akhbar Al Khaleej;Wikipedia (newspapers);;;;;
Al Ayam;Wikipedia (newspapers);;;;;
Al Watan;Wikipedia (newspapers);;;;;
Al-Ahram;Wikipedia (newspapers);;;;;
Al Shorouk;Wikipedia (newspapers);;;;;
Kayhan Al Arabi;Wikipedia (newspapers);;;;;
Al Anbaa;Wikipedia (newspapers);;;;;
Al Mada;Wikipedia (newspapers);;;;;
Al-Mashriq;Wikipedia (newspapers);;;;;
Ad-Dustour;Wikipedia (newspapers);;;;;
Al Anbat;Wikipedia (newspapers);;;;;
Al-Arab Al-Yawm;Wikipedia (newspapers);;;;;
Assabeel;Wikipedia (newspapers);;;;;
Al-Anbaa;Wikipedia (newspapers);;;;;
al-Qabas;Wikipedia (newspapers);;;;;
al-Watan;Wikipedia (newspapers);;;;;
Ad Diyar;Wikipedia (newspapers);;;;;
Al-Nahar;Wikipedia (newspapers);;;;;
al-Alam;Wikipedia (newspapers);;;;;
Al Sharq;Wikipedia (newspapers);;;;;
Al Madina;Wikipedia (newspapers);;;;;
Al-Horria;Wikipedia (newspapers);;;;;
Al Jumhuriya;Wikipedia (newspapers);;;;;
Al-Thawra;Wikipedia (newspapers);;;;;
al-Bayan;Wikipedia (newspapers);;;;;
Al-Ittihad;Wikipedia (newspapers);;;;;
Gulf News;Wikipedia (newspapers);;;;;
Khaleej Times;Wikipedia (newspapers);;;;;
Gulf Madhyamam;Wikipedia (newspapers);;;;;
Daily Sabah;Wikipedia (newspapers);;;;;
Al Jamahir;Wikipedia (newspapers);;;;;
Tishreen;Wikipedia (newspapers);;;;;
Al-Wehda;Wikipedia (newspapers);;;;;
Al-Ouruba;Wikipedia (newspapers);;;;;
al-Furat;Wikipedia (newspapers);;;;;
Al Rayaam;Wikipedia (newspapers);;;;;
Adaraweesh;Wikipedia (newspapers);;;;;
Al Eqtisadiah;Wikipedia (newspapers);;;;;
Al Yaum;Wikipedia (newspapers);;;;;
Naseej;Wikipedia (newspapers);;;;;
Okaz;Wikipedia (newspapers);;;;;
Al Raya;Wikipedia (newspapers);;;;;
al-Hayat al-Jadida;Wikipedia (newspapers);;;;;
Al Karmil;Wikipedia (newspapers);;;;;
Al Manar;Wikipedia (newspapers);;;;;
Al Massar;Wikipedia (newspapers);;;;;
Filasteen al-Muslimah;Wikipedia (newspapers);;;;;
Ashabiba;Wikipedia (newspapers);;;;;
al-Jarida al-Maghribia;Wikipedia (newspapers);;;;;
Attajdid;Wikipedia (newspapers);;;;;
Bayane al-Yaoume;Wikipedia (newspapers);;;;;
Akhbar Nouakchott;Wikipedia (newspapers);;;;;
al-Fajr al-Jadid;Wikipedia (newspapers);;;;;
al-Jamahiriyah;Wikipedia (newspapers);;;;;
al-Zahf Al-Akhdar;Wikipedia (newspapers);;;;;
Al-Ahd Ul’Jadid;Wikipedia (newspapers);;;;;
Al Amal;Wikipedia (newspapers);;;;;
al-Balad;Wikipedia (newspapers);;;;;
Al-Intiqad;Wikipedia (newspapers);;;;;
Al Kuwaitiya;Wikipedia (newspapers);;;;;
Al-Kalima;Wikipedia (newspapers);;;;;
Al-Kifah al-Arabi;Wikipedia (newspapers);;;;;
Al Liwaa;Wikipedia (newspapers);;;;;
Al-Massira;Wikipedia (newspapers);;;;;
Al-Mustaqbal;Wikipedia (newspapers);;;;;
Al-Waie;Wikipedia (newspapers);;;;;
Alwasat;Wikipedia (newspapers);;;;;
Al Rai;Wikipedia (newspapers);;;;;
Shihan;Wikipedia (newspapers);;;;;
Echorouk Group;Wikipedia (tv channels);;;;;
AL24 News;Wikipedia (tv channels);;;;;
Mekameleen TV;Wikipedia (tv channels);;;;;
El Mehwar;Wikipedia (tv channels);;;;;
CBC;Wikipedia (tv channels);;;;;
Cima;Wikipedia (tv channels);;;;;
DMC;Wikipedia (tv channels);;;;;
Mazzika;Wikipedia (tv channels);;;;;
Mazazikh;Wikipedia (tv channels);;;;;
ONTV;Wikipedia (tv channels);;;;;
218TV;Wikipedia (tv channels);;;;;
Arryadia;Wikipedia (tv channels);;;;;
Athaqafia;Wikipedia (tv channels);;;;;
Assadissa;Wikipedia (tv channels);;;;;
MBC;Wikipedia (tv channels);;;;;
2M;Wikipedia (tv channels);;;;;
Al Aoula;Wikipedia (tv channels);;;;;
El Hiwar El Tounousi;Wikipedia (tv channels);;;;;
Zaytouna TV;Wikipedia (tv channels);;;;;
K24;Wikipedia (tv channels);;;;;
Khartoum;Wikipedia (tv channels);;;;;
Omdurman;Wikipedia (tv channels);;;;;
Tunisna;Wikipedia (tv channels);;;;;
Roya TV;Wikipedia (tv channels);;;;;
Al-Mamlaka TV;Wikipedia (tv channels);;;;;
Télé Liban;Wikipedia (tv channels);;;;;
Iqraa;Wikipedia (tv channels);;;;;
Al Jazeera;Wikipedia (tv channels);;;;;
Al Rayyan;Wikipedia (tv channels);;;;;
beIN SPORTS;Wikipedia (tv channels);;;;;
JoSat;Wikipedia (tv channels);;;;;
KTV2;Wikipedia (tv channels);;;;;
One;Wikipedia (tv channels);;;;;
OTV;Wikipedia (tv channels);;;;;
LDC;Wikipedia (tv channels);;;;;
Nagham;Wikipedia (tv channels);;;;;
NBN;Wikipedia (tv channels);;;;;
ANB;Wikipedia (tv channels);;;;;
Hawacom;Wikipedia (tv channels);;;;;
OSN;Wikipedia (tv channels);;;;;
Torath;Wikipedia (tv channels);;;;;
Jawan;Wikipedia (tv channels);;;;;
PubliTools;Wikipedia (tv channels);;;;;
Wanasah;Wikipedia (tv channels);;;;;
Air Arabia;AGBI;;;;;
Al Mada;AGBI;;;;;
Al Tayer Group;AGBI;;;;;
Al Yah Satellite Communications;AGBI;;;;;
Amanat Holdings;AGBI;;;;;
Argaam;AGBI;;;;;
Bahrain Islamic Bank;AGBI;;;;;
Baladna;AGBI;;;;;
Bayanat;AGBI;;;;;
Borouge;AGBI;;;;;
Cerebras;AGBI;;;;;
DenizBank;AGBI;;;;;
Deyaar;AGBI;;;;;
Dnata;AGBI;;;;;
Du;AGBI;;;;;
Dubai Airports Company;AGBI;;;;;
Emirates Airline;AGBI;;;;;
Emsteel;AGBI;;;;;
Fajr Capital;AGBI;;;;;
Fertiglobe;AGBI;;;;;
Flynas;AGBI;;;;;
G42;AGBI;;;;;
GIB Capital;AGBI;;;;;
Jumeirah Hotels;AGBI;;;;;
Kezad;AGBI;;;;;
Kuwait Oil Company;AGBI;;;;;
Ma’aden;AGBI;;;;;
Mashreq;AGBI;;;;;
Muscat Stock Exchange;AGBI;;;;;
Ooredoo;AGBI;;;;;
Shorooq Partners;AGBI;;;;;
Spinneys;AGBI;;;;;
Talabat;AGBI;;;;;
Almarai;Arabian Business;;;;;
ADNOC;Arabian Business;;;;;
Al Nabooda Automobiles;Arabian Business;;;;;
Alshaya;Arabian Business;;;;;
Aster DM Healthcare;Arabian Business;;;;;
Apparel Group;Arabian Business;;;;;
Asdaa Burson Marsteller;Arabian Business;;;;;
Damac;Arabian Business;;;;;
Danube Group;Arabian Business;;;;;
DEWA;Arabian Business;;;;;
Empower;Arabian Business;;;;;
Emirates NBD;Arabian Business;;;;;
Etisalat;Arabian Business;;;;;
The Ghassan Aboud Group;Arabian Business;;;;;
GEMS Education;Arabian Business;;;;;
Henkel GCC;Arabian Business;;;;;
Marina Home;Arabian Business;;;;;
Jumeirah Group;Arabian Business;;;;;
Kharafi Group;Arabian Business;;;;;
Mubadala;Arabian Business;;;;;
LuLu Group;Arabian Business;;;;;
Noon;Arabian Business;;;;;
Patchi;Arabian Business;;;;;
Ras Al Khaimah Economic Zone;Arabian Business;;;;;
Virtuzone;Arabian Business;;;;;
Thumbay Group;Arabian Business;;;;;
Qatar Charity;Funds for NGOs;;;;;
Emirates Red Crescent;Funds for NGOs;;;;;
Islamic Relief Worldwide;Funds for NGOs;;;;;
Arab Fund for Economic and Social Development;Funds for NGOs;;;;;
Al Quds Association;Funds for NGOs;;;;;
The Khalifa Foundation;Funds for NGOs;;;;;
The Noor Dubai Foundation;Funds for NGOs;;;;;
The Arab Medical Union;Funds for NGOs;;;;;
The Qatar Fund for Development;Funds for NGOs;;;;;
The UAE’s Zayed Giving Initiative;Funds for NGOs;;;;;
The Jordan River Foundation;Funds for NGOs;;;;;
The Palestinian Medical Relief Society;Funds for NGOs;;;;;
The Syrian American Medical Society;Funds for NGOs;;;;;
The International Islamic Charitable Organization;Funds for NGOs;;;;;
Asmidal;Wikipedia (Arab companies);;;;;
Cevital;Wikipedia (Arab companies);;;;;
Djezzy;Wikipedia (Arab companies);;;;;
Naftal;Wikipedia (Arab companies);;;;;
Saidal;Wikipedia (Arab companies);;;;;
SNVI;Wikipedia (Arab companies);;;;;
Sonatrach;Wikipedia (Arab companies);;;;;
Sonalgaz;Wikipedia (Arab companies);;;;;
Banagas;Wikipedia (Arab companies);;;;;
Batelco;Wikipedia (Arab companies);;;;;
BMMI;Wikipedia (Arab companies);;;;;
Investcorp;Wikipedia (Arab companies);;;;;
BiscoMisr;Wikipedia (Arab companies);;;;;
EgyptAir;Wikipedia (Arab companies);;;;;
Egyptalum;Wikipedia (Arab companies);;;;;
eSpace;Wikipedia (Arab companies);;;;;
Mo’men;Wikipedia (Arab companies);;;;;
Nasr;Wikipedia (Arab companies);;;;;
Nilesat;Wikipedia (Arab companies);;;;;
Starworld;Wikipedia (Arab companies);;;;;
Asiacell;Wikipedia (Arab companies);;;;;
Cinescape;Wikipedia (Arab companies);;;;;
Gulfsat;Wikipedia (Arab companies);;;;;
KIPCO;Wikipedia (Arab companies);;;;;
Alrifai;Wikipedia (Arab companies);;;;;
Massaya;Wikipedia (Arab companies);;;;;
PSLab;Wikipedia (Arab companies);;;;;
Tabbah;Wikipedia (Arab companies);;;;;
Libyana;Wikipedia (Arab companies);;;;;
Oilibya;Wikipedia (Arab companies);;;;;
RASCO;Wikipedia (Arab companies);;;;;
Mauritel;Wikipedia (Arab companies);;;;;
Afriquia;Wikipedia (Arab companies);;;;;
Aïcha;Wikipedia (Arab companies);;;;;
Aiguebelle;Wikipedia (Arab companies);;;;;
Akdital;Wikipedia (Arab companies);;;;;
Bimo;Wikipedia (Arab companies);;;;;
Biougnach;Wikipedia (Arab companies);;;;;
BMCI;Wikipedia (Arab companies);;;;;
Colorado;Wikipedia (Arab companies);;;;;
Comarit;Wikipedia (Arab companies);;;;;
Eco-Médias;Wikipedia (Arab companies);;;;;
Electroplanet;Wikipedia (Arab companies);;;;;
Ferrimaroc;Wikipedia (Arab companies);;;;;
Hawaï;Wikipedia (Arab companies);;;;;
Inwi;Wikipedia (Arab companies);;;;;
Jet4you;Wikipedia (Arab companies);;;;;
Koutoubia;Wikipedia (Arab companies);;;;;
Kitea;Wikipedia (Arab companies);;;;;
Laraki;Wikipedia (Arab companies);;;;;
Managem;Wikipedia (Arab companies);;;;;
Marjane;Wikipedia (Arab companies);;;;;
MarsaMaroc;Wikipedia (Arab companies);;;;;
Mondair;Wikipedia (Arab companies);;;;;
Nareva;Wikipedia (Arab companies);;;;;
ONCF;Wikipedia (Arab companies);;;;;
SGTM;Wikipedia (Arab companies);;;;;
Siera;Wikipedia (Arab companies);;;;;
Siger;Wikipedia (Arab companies);;;;;
SNRT;Wikipedia (Arab companies);;;;;
Somaca;Wikipedia (Arab companies);;;;;
SOMED;Wikipedia (Arab companies);;;;;
Sonasid;Wikipedia (Arab companies);;;;;
Sopriam;Wikipedia (Arab companies);;;;;
TGCC;Wikipedia (Arab companies);;;;;
Kahramaa;Wikipedia (Arab companies);;;;;
Nehmeh;Wikipedia (Arab companies);;;;;
RasGas;Wikipedia (Arab companies);;;;;
Al-Bilad;Wikipedia (Arab companies);;;;;
Al-Muhaidib;Wikipedia (Arab companies);;;;;
Aramco;Wikipedia (Arab companies);;;;;
Arasco;Wikipedia (Arab companies);;;;;
Bahri;Wikipedia (Arab companies);;;;;
Bayanat;Wikipedia (Arab companies);;;;;
Dussur;Wikipedia (Arab companies);;;;;
Kudu;Wikipedia (Arab companies);;;;;
Mobily;Wikipedia (Arab companies);;;;;
Nadec;Wikipedia (Arab companies);;;;;
Qaym;Wikipedia (Arab companies);;;;;
Rezayat;Wikipedia (Arab companies);;;;;
SAMI;Wikipedia (Arab companies);;;;;
Saudia;Wikipedia (Arab companies);;;;;
Sawani;Wikipedia (Arab companies);;;;;
Sela;Wikipedia (Arab companies);;;;;
Shawarmer;Wikipedia (Arab companies);;;;;
Xenel;Wikipedia (Arab companies);;;;;
Bakdash;Wikipedia (Arab companies);;;;;
Syriatel;Wikipedia (Arab companies);;;;;
Adwya;Wikipedia (Arab companies);;;;;
Evertek;Wikipedia (Arab companies);;;;;
Monoprix;Wikipedia (Arab companies);;;;;
Nouvelair;Wikipedia (Arab companies);;;;;
Tunisavia;Wikipedia (Arab companies);;;;;
Vermeg;Wikipedia (Arab companies);;;;;
Wallyscar;Wikipedia (Arab companies);;;;;
